Time,CPU Usage (%),Memory Usage (%)
2023-12-14 01:13:25,29.2,16.5
2023-12-14 01:13:26,28.9,16.6
2023-12-14 01:13:27,28.9,16.5
2023-12-14 01:13:28,29.5,16.6
2023-12-14 01:13:29,29.1,16.6
2023-12-14 01:13:30,31.1,16.6
2023-12-14 01:13:31,28.3,16.7
2023-12-14 01:13:32,27.1,16.7
2023-12-14 01:13:33,27.7,16.8
2023-12-14 01:13:34,29.1,16.7
2023-12-14 01:13:35,31.6,16.8
2023-12-14 01:13:36,32.7,16.7
2023-12-14 01:13:37,30.1,16.8
2023-12-14 01:13:38,30.0,16.8
2023-12-14 01:13:39,28.8,16.8
2023-12-14 01:13:40,30.4,16.8
2023-12-14 01:13:41,30.7,16.8
2023-12-14 01:13:42,30.3,16.8
2023-12-14 01:13:43,30.4,16.8
2023-12-14 01:13:44,30.8,16.8
2023-12-14 01:13:45,29.3,16.8
2023-12-14 01:13:46,31.3,16.8
2023-12-14 01:13:47,30.7,16.8
2023-12-14 01:13:48,30.2,16.9
2023-12-14 01:13:49,31.2,16.9
2023-12-14 01:13:50,31.0,16.9
2023-12-14 01:13:51,30.9,16.9
2023-12-14 01:13:52,30.7,16.9
2023-12-14 01:13:53,29.8,16.9
2023-12-14 01:13:54,30.5,16.9
2023-12-14 01:13:55,29.7,16.9
2023-12-14 01:13:56,31.2,16.9
2023-12-14 01:13:57,32.2,16.8
2023-12-14 01:13:58,30.2,16.9
2023-12-14 01:13:59,33.1,16.9
2023-12-14 01:14:00,32.5,16.9
2023-12-14 01:14:01,31.4,17.0
2023-12-14 01:14:02,29.1,17.0
2023-12-14 01:14:03,28.4,16.9
2023-12-14 01:14:04,33.5,17.0
2023-12-14 01:14:05,34.2,17.0
2023-12-14 01:14:06,31.7,17.0
2023-12-14 01:14:07,33.2,17.0
2023-12-14 01:14:08,32.0,17.1
2023-12-14 01:14:09,29.3,17.1
2023-12-14 01:14:10,31.7,17.0
2023-12-14 01:14:11,31.2,17.0
2023-12-14 01:14:12,30.9,17.0
2023-12-14 01:14:13,29.7,17.0
2023-12-14 01:14:14,30.0,17.0
2023-12-14 01:14:15,29.4,17.0
2023-12-14 01:14:16,30.8,17.0
2023-12-14 01:14:17,29.4,17.1
2023-12-14 01:14:18,30.8,17.1
2023-12-14 01:14:19,31.8,17.2
2023-12-14 01:14:20,32.7,17.2
2023-12-14 01:14:21,30.3,17.1
2023-12-14 01:14:22,30.3,17.1
2023-12-14 01:14:23,30.5,17.2
2023-12-14 01:14:24,30.7,17.1
2023-12-14 01:14:25,29.1,17.2
2023-12-14 01:14:26,30.1,17.2
2023-12-14 01:14:27,32.0,17.2
2023-12-14 01:14:28,34.7,17.2
2023-12-14 01:14:29,28.6,17.2
2023-12-14 01:14:30,28.7,17.3
2023-12-14 01:14:31,28.5,17.3
2023-12-14 01:14:32,28.1,17.3
2023-12-14 01:14:33,26.1,17.2
2023-12-14 01:14:34,25.3,17.2
2023-12-14 01:14:35,25.2,17.2
2023-12-14 01:14:36,25.2,17.2
2023-12-14 01:14:37,29.9,17.2
2023-12-14 01:14:38,33.9,17.3
2023-12-14 01:14:39,31.9,17.3
2023-12-14 01:14:40,30.5,17.2
2023-12-14 01:14:41,29.3,17.1
2023-12-14 01:14:42,30.9,17.2
2023-12-14 01:14:43,30.7,17.3
2023-12-14 01:14:44,29.0,17.3
2023-12-14 01:14:45,31.5,17.3
2023-12-14 01:14:46,30.8,17.3
2023-12-14 01:14:47,30.3,17.2
2023-12-14 01:14:48,30.4,17.3
2023-12-14 01:14:49,31.2,17.3
2023-12-14 01:14:50,30.3,17.4
2023-12-14 01:14:51,31.9,17.3
2023-12-14 01:14:52,32.3,17.4
2023-12-14 01:14:53,30.2,17.4
2023-12-14 01:14:54,29.6,17.4
2023-12-14 01:14:55,29.7,17.4
2023-12-14 01:14:56,31.1,17.4
2023-12-14 01:14:57,30.3,17.4
2023-12-14 01:14:58,29.2,17.5
2023-12-14 01:14:59,32.2,17.4
2023-12-14 01:15:00,29.8,17.4
2023-12-14 01:15:01,31.6,17.4
2023-12-14 01:15:02,30.1,17.4
2023-12-14 01:15:03,29.6,17.4
2023-12-14 01:15:04,30.6,17.4
2023-12-14 01:15:05,29.8,17.4
2023-12-14 01:15:06,29.7,17.5
2023-12-14 01:15:07,30.8,17.5
2023-12-14 01:15:08,30.1,17.6
2023-12-14 01:15:09,29.5,17.5
2023-12-14 01:15:10,30.4,17.5
2023-12-14 01:15:11,30.2,17.5
2023-12-14 01:15:12,30.0,17.5
2023-12-14 01:15:13,30.3,17.5
2023-12-14 01:15:14,31.4,17.6
2023-12-14 01:15:15,30.9,17.5
2023-12-14 01:15:16,30.6,17.4
2023-12-14 01:15:17,31.9,17.5
2023-12-14 01:15:18,31.8,17.6
2023-12-14 01:15:19,29.5,17.6
2023-12-14 01:15:20,29.3,17.7
2023-12-14 01:15:21,30.3,17.6
2023-12-14 01:15:22,29.3,17.6
2023-12-14 01:15:23,30.4,17.6
2023-12-14 01:15:24,29.4,17.6
2023-12-14 01:15:25,32.4,17.6
2023-12-14 01:15:26,33.5,17.6
2023-12-14 01:15:27,29.2,17.7
2023-12-14 01:15:28,32.3,17.7
2023-12-14 01:15:29,38.6,17.8
2023-12-14 01:15:30,34.4,17.7
2023-12-14 01:15:31,31.4,17.6
2023-12-14 01:15:32,30.9,17.6
2023-12-14 01:15:33,29.7,17.7
2023-12-14 01:15:34,30.5,17.7
2023-12-14 01:15:35,31.8,17.8
2023-12-14 01:15:36,28.9,17.7
2023-12-14 01:15:37,28.9,17.7
2023-12-14 01:15:38,26.6,17.7
2023-12-14 01:15:39,26.0,17.7
2023-12-14 01:15:40,27.0,17.6
2023-12-14 01:15:41,27.1,17.7
2023-12-14 01:15:42,26.4,17.7
2023-12-14 01:15:43,27.6,17.7
2023-12-14 01:15:44,31.7,17.8
2023-12-14 01:15:45,31.5,17.9
2023-12-14 01:15:46,31.1,17.8
2023-12-14 01:15:47,29.9,17.7
2023-12-14 01:15:48,29.2,17.7
2023-12-14 01:15:49,28.2,17.8
2023-12-14 01:15:50,28.2,17.7
2023-12-14 01:15:51,29.5,17.8
2023-12-14 01:15:52,28.5,17.8
2023-12-14 01:15:53,27.9,17.8
2023-12-14 01:15:54,27.8,17.7
2023-12-14 01:15:55,29.1,17.8
2023-12-14 01:15:56,28.0,17.8
2023-12-14 01:15:57,28.1,17.8
2023-12-14 01:15:58,28.0,17.8
2023-12-14 01:15:59,28.4,17.8
2023-12-14 01:16:00,28.4,17.8
2023-12-14 01:16:01,26.9,17.8
2023-12-14 01:16:02,30.1,17.8
2023-12-14 01:16:03,29.4,17.9
2023-12-14 01:16:04,32.0,17.8
2023-12-14 01:16:05,32.0,17.8
2023-12-14 01:16:06,31.7,17.9
2023-12-14 01:16:07,30.8,17.8
2023-12-14 01:16:08,30.3,17.9
2023-12-14 01:16:09,30.5,17.8
2023-12-14 01:16:10,29.7,17.8
2023-12-14 01:16:11,31.0,17.8
2023-12-14 01:16:12,30.3,17.9
2023-12-14 01:16:13,30.5,17.9
2023-12-14 01:16:14,29.9,17.9
2023-12-14 01:16:15,30.1,17.9
2023-12-14 01:16:16,29.5,17.9
2023-12-14 01:16:17,29.0,17.9
2023-12-14 01:16:18,30.2,17.9
2023-12-14 01:16:19,31.7,17.8
2023-12-14 01:16:20,30.9,17.8
2023-12-14 01:16:21,29.9,18.0
2023-12-14 01:16:22,30.3,17.9
2023-12-14 01:16:23,28.5,18.0
2023-12-14 01:16:24,29.2,17.9
2023-12-14 01:16:25,28.8,17.9
2023-12-14 01:16:26,28.3,17.9
2023-12-14 01:16:27,32.3,18.0
2023-12-14 01:16:28,32.5,17.9
2023-12-14 01:16:29,31.3,18.0
2023-12-14 01:16:30,30.9,18.0
2023-12-14 01:16:31,31.3,17.9
2023-12-14 01:16:32,31.0,18.0
2023-12-14 01:16:33,31.2,18.1
2023-12-14 01:16:34,30.9,17.9
2023-12-14 01:16:35,30.7,18.0
2023-12-14 01:16:36,31.1,18.0
2023-12-14 01:16:37,30.4,18.1
2023-12-14 01:16:38,30.0,18.1
2023-12-14 01:16:39,30.1,18.1
2023-12-14 01:16:40,30.6,17.9
2023-12-14 01:16:41,30.7,18.0
2023-12-14 01:16:42,31.0,18.0
2023-12-14 01:16:43,30.3,18.1
2023-12-14 01:16:44,29.9,18.1
2023-12-14 01:16:45,29.6,18.0
2023-12-14 01:16:46,29.5,18.2
2023-12-14 01:16:47,28.8,18.1
2023-12-14 01:16:48,29.2,18.2
2023-12-14 01:16:49,29.5,18.2
2023-12-14 01:16:50,30.6,17.9
2023-12-14 01:16:51,32.2,18.0
2023-12-14 01:16:52,32.8,18.1
2023-12-14 01:16:53,31.6,18.0
2023-12-14 01:16:54,33.0,18.1
2023-12-14 01:16:55,31.2,18.1
2023-12-14 01:16:56,28.9,18.2
2023-12-14 01:16:57,30.3,18.3
2023-12-14 01:16:58,30.7,18.1
2023-12-14 01:16:59,29.5,18.2
2023-12-14 01:17:00,30.7,18.1
2023-12-14 01:17:01,29.8,18.2
2023-12-14 01:17:02,31.3,18.2
2023-12-14 01:17:03,30.1,18.2
2023-12-14 01:17:04,31.6,18.2
2023-12-14 01:17:05,30.7,18.1
2023-12-14 01:17:06,30.8,18.1
2023-12-14 01:17:07,31.2,18.0
2023-12-14 01:17:08,31.3,18.2
2023-12-14 01:17:09,31.0,18.1
2023-12-14 01:17:10,29.7,18.2
2023-12-14 01:17:11,28.8,18.1
2023-12-14 01:17:12,28.7,18.3
2023-12-14 01:17:13,27.9,18.2
2023-12-14 01:17:14,29.1,18.3
2023-12-14 01:17:15,28.2,18.3
2023-12-14 01:17:16,28.0,18.4
2023-12-14 01:17:17,28.3,18.2
2023-12-14 01:17:18,27.3,18.2
2023-12-14 01:17:19,27.8,18.3
2023-12-14 01:17:20,28.6,18.3
2023-12-14 01:17:21,27.9,18.3
2023-12-14 01:17:22,27.9,18.2
2023-12-14 01:17:23,30.0,18.3
2023-12-14 01:17:24,27.5,18.1
2023-12-14 01:17:25,27.6,18.2
2023-12-14 01:17:26,27.9,18.2
2023-12-14 01:17:27,28.7,18.2
2023-12-14 01:17:28,28.9,18.3
2023-12-14 01:17:29,28.9,18.3
2023-12-14 01:17:30,27.7,18.3
2023-12-14 01:17:31,28.9,18.2
2023-12-14 01:17:32,27.8,18.3
2023-12-14 01:17:33,28.3,18.4
2023-12-14 01:17:34,28.2,18.3
2023-12-14 01:17:35,29.9,18.3
2023-12-14 01:17:36,28.8,18.2
2023-12-14 01:17:37,29.4,18.3
2023-12-14 01:17:38,30.0,18.3
2023-12-14 01:17:39,32.1,18.2
2023-12-14 01:17:40,31.7,18.3
2023-12-14 01:17:41,32.7,18.2
2023-12-14 01:17:42,32.4,18.3
2023-12-14 01:17:43,38.0,18.4
2023-12-14 01:17:44,38.7,18.4
2023-12-14 01:17:45,31.0,18.4
2023-12-14 01:17:46,31.3,18.5
2023-12-14 01:17:47,30.7,18.5
2023-12-14 01:17:48,34.7,18.5
2023-12-14 01:17:49,33.0,18.5
2023-12-14 01:17:50,30.4,18.4
2023-12-14 01:17:51,30.4,18.4
2023-12-14 01:17:52,28.0,18.4
2023-12-14 01:17:53,29.4,18.4
2023-12-14 01:17:54,35.2,18.4
2023-12-14 01:17:55,30.7,18.4
2023-12-14 01:17:56,29.7,18.5
2023-12-14 01:17:57,29.1,18.4
2023-12-14 01:17:58,29.4,18.5
2023-12-14 01:17:59,29.4,18.4
2023-12-14 01:18:00,28.3,18.3
2023-12-14 01:18:01,30.6,18.4
2023-12-14 01:18:02,29.5,18.5
2023-12-14 01:18:03,29.4,18.4
2023-12-14 01:18:04,28.3,18.3
2023-12-14 01:18:05,29.7,18.4
2023-12-14 01:18:06,30.1,18.5
2023-12-14 01:18:07,34.5,18.5
2023-12-14 01:18:08,29.9,18.6
2023-12-14 01:18:09,30.8,18.6
2023-12-14 01:18:10,30.5,18.5
2023-12-14 01:18:11,31.1,18.4
2023-12-14 01:18:12,30.2,18.5
2023-12-14 01:18:13,30.6,18.6
2023-12-14 01:18:14,30.0,18.5
2023-12-14 01:18:15,31.2,18.5
2023-12-14 01:18:16,30.4,18.5
2023-12-14 01:18:17,31.7,18.5
2023-12-14 01:18:18,32.2,18.5
2023-12-14 01:18:19,31.7,18.5
2023-12-14 01:18:20,31.0,18.5
2023-12-14 01:18:21,29.6,18.5
2023-12-14 01:18:22,31.9,18.6
2023-12-14 01:18:23,32.9,18.5
2023-12-14 01:18:24,31.5,18.5
2023-12-14 01:18:25,31.0,18.5
2023-12-14 01:18:26,30.1,18.5
2023-12-14 01:18:27,31.4,18.6
2023-12-14 01:18:28,31.8,18.5
2023-12-14 01:18:29,32.2,18.5
2023-12-14 01:18:30,33.6,18.6
2023-12-14 01:18:31,34.7,18.6
2023-12-14 01:18:32,33.6,18.7
2023-12-14 01:18:33,35.6,18.6
2023-12-14 01:18:34,34.2,18.7
2023-12-14 01:18:35,32.8,18.7
2023-12-14 01:18:36,31.1,18.7
2023-12-14 01:18:37,29.7,18.7
2023-12-14 01:18:38,31.0,18.7
2023-12-14 01:18:39,29.8,18.6
2023-12-14 01:18:40,29.7,18.6
2023-12-14 01:18:41,31.3,18.5
2023-12-14 01:18:42,29.7,18.7
2023-12-14 01:18:43,29.9,18.8
2023-12-14 01:18:44,30.6,18.7
2023-12-14 01:18:45,30.2,18.8
2023-12-14 01:18:46,33.8,18.7
2023-12-14 01:18:47,31.6,18.7
2023-12-14 01:18:48,33.1,18.6
2023-12-14 01:18:49,33.8,18.7
2023-12-14 01:18:50,31.5,18.7
2023-12-14 01:18:51,33.7,18.8
2023-12-14 01:18:52,32.2,18.8
2023-12-14 01:18:53,34.4,18.8
2023-12-14 01:18:54,33.7,18.7
2023-12-14 01:18:55,32.8,18.7
2023-12-14 01:18:56,30.9,18.7
2023-12-14 01:18:57,30.6,18.7
2023-12-14 01:18:58,29.5,18.7
2023-12-14 01:18:59,30.3,18.7
2023-12-14 01:19:00,29.8,18.7
2023-12-14 01:19:01,30.2,18.7
2023-12-14 01:19:02,30.2,18.8
2023-12-14 01:19:03,30.3,18.7
2023-12-14 01:19:04,30.1,18.7
2023-12-14 01:19:05,30.4,18.7
2023-12-14 01:19:06,30.8,18.7
2023-12-14 01:19:07,30.4,18.7
2023-12-14 01:19:08,30.3,18.7
2023-12-14 01:19:09,32.6,18.7
2023-12-14 01:19:10,32.2,18.8
2023-12-14 01:19:11,31.3,18.7
2023-12-14 01:19:12,32.4,18.8
2023-12-14 01:19:13,31.4,18.7
2023-12-14 01:19:14,31.9,18.8
2023-12-14 01:19:15,31.1,18.8
2023-12-14 01:19:16,32.4,18.9
2023-12-14 01:19:17,33.2,18.8
2023-12-14 01:19:18,32.2,18.8
2023-12-14 01:19:19,32.9,18.9
2023-12-14 01:19:20,32.1,18.9
2023-12-14 01:19:21,32.2,19.0
2023-12-14 01:19:22,31.5,19.1
2023-12-14 01:19:23,30.8,19.0
2023-12-14 01:19:24,32.2,18.9
2023-12-14 01:19:25,29.1,18.9
2023-12-14 01:19:26,29.8,18.9
2023-12-14 01:19:27,29.5,18.9
2023-12-14 01:19:28,29.5,19.0
2023-12-14 01:19:29,29.3,19.0
